match_number,date,home_team,away_team,stadium,result,season,time,home_result,away_result,winner,home_sets_won,away_sets_won,number_of_sets,home_game_won,away_game_won,home_sets_lost,away_sets_lost
134637,01-10-22,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen                ,3 - 0,2022-2023,14:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
134640,02-10-22,Amager VK.2,Grøndal EV,Sundbyhal 2                ,3 - 0,2022-2023,10:00,3,0,Amager VK.2,3,0,3,1,0,0,3
134639,02-10-22,VLI,KSV,Kedelhallen                ,3 - 0,2022-2023,13:30,3,0,VLI,3,0,3,1,0,0,3
134641,02-10-22,Farum-Holte,Hvidovre VK.2,Ny Holtehal                ,2 - 3,2022-2023,16:00,2,3,Hvidovre VK.2,2,3,5,0,1,3,2
134645,08-10-22,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen                ,3 - 0,2022-2023,14:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
134642,08-10-22,DTU Volley,Gentofte Volley.2,Engelsborghallen                ,2 - 3,2022-2023,14:30,2,3,Gentofte Volley.2,2,3,5,0,1,3,2
134643,08-10-22,Hvidovre VK.2,VK Holbæk,Frihedens Idrætscenter                ,0 - 3,2022-2023,17:00,0,3,VK Holbæk,0,3,3,0,1,3,0
134644,09-10-22,Amager VK.2,VLI,Sundbyhal 2                ,3 - 1,2022-2023,12:00,3,1,Amager VK.2,3,1,4,1,0,1,3
134646,09-10-22,Grøndal EV,KSV,Hillerødgades Sportssal                ,3 - 1,2022-2023,15:00,3,1,Grøndal EV,3,1,4,1,0,1,3
134648,15-10-22,VK Holbæk,VLI,Stenhus Gymnasium                ,0 - 3,2022-2023,10:00,0,3,VLI,0,3,3,0,1,3,0
134647,15-10-22,Gentofte Volley.2,Hvidovre VK.2,Kildeskovshal                 ,3 - 0,2022-2023,14:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
134651,16-10-22,Grøndal EV,Frederiksberg Volley,Hillerødgades Sportssal                ,3 - 1,2022-2023,13:00,3,1,Grøndal EV,3,1,4,1,0,1,3
134650,16-10-22,KSV,Amager VK.2,Hillerødgades Sportssal                ,0 - 3,2022-2023,15:00,0,3,Amager VK.2,0,3,3,0,1,3,0
134652,29-10-22,Gentofte Volley.2,VK Holbæk,Kildeskovshal                 ,3 - 0,2022-2023,14:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
134655,29-10-22,Farum-Holte,Amager VK.2,Ny Holtehal                ,3 - 2,2022-2023,14:00,3,2,Farum-Holte,3,2,5,1,0,2,3
134654,29-10-22,Hvidovre VK.2,Grøndal EV,Frihedens Idrætscenter                ,0 - 3,2022-2023,17:00,0,3,Grøndal EV,0,3,3,0,1,3,0
134653,30-10-22,VLI,DTU Volley,Kedelhallen                ,1 - 3,2022-2023,13:30,1,3,DTU Volley,1,3,4,0,1,3,1
134666,05-11-22,Farum-Holte,Grøndal EV,Ny Holtehal                ,3 - 2,2022-2023,12:00,3,2,Farum-Holte,3,2,5,1,0,2,3
134663,05-11-22,VK Holbæk,Amager VK.2,Stenhus Gymnasium                ,1 - 3,2022-2023,14:30,1,3,Amager VK.2,1,3,4,0,1,3,1
134664,05-11-22,DTU Volley,Frederiksberg Volley,Engelsborghallen                ,0 - 3,2022-2023,14:30,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134665,05-11-22,Hvidovre VK.2,VLI,Frihedens Idrætscenter                ,0 - 3,2022-2023,17:00,0,3,VLI,0,3,3,0,1,3,0
134662,06-11-22,Gentofte Volley.2,KSV,Kildeskovshal                 ,3 - 0,2022-2023,12:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
134649,11-11-22,DTU Volley,Farum-Holte,Polythallen                ,3 - 2,2022-2023,18:00,3,2,DTU Volley,3,2,5,1,0,2,3
134669,13-11-22,Amager VK.2,DTU Volley,Sundbyhal 2                ,3 - 1,2022-2023,10:00,3,1,Amager VK.2,3,1,4,1,0,1,3
134668,13-11-22,VK Holbæk,KSV,Stenhus Gymnasium                ,3 - 2,2022-2023,12:00,3,2,VK Holbæk,3,2,5,1,0,2,3
134670,13-11-22,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter                ,0 - 3,2022-2023,13:30,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134671,13-11-22,VLI,Farum-Holte,Kedelhallen                ,1 - 3,2022-2023,13:30,1,3,Farum-Holte,1,3,4,0,1,3,1
134667,13-11-22,Grøndal EV,Gentofte Volley.2,Hillerødgades Sportssal                ,3 - 2,2022-2023,15:00,3,2,Grøndal EV,3,2,5,1,0,2,3
134684,20-11-22,KSV,VLI,Hillerødgades Sportssal                ,0 - 3,2022-2023,14:00,0,3,VLI,0,3,3,0,1,3,0
134656,22-11-22,Frederiksberg Volley,KSV,Kedelhallen                ,3 - 0,2022-2023,19:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
134673,26-11-22,VK Holbæk,Grøndal EV,Stenhus Gymnasium                ,2 - 3,2022-2023,10:00,2,3,Grøndal EV,2,3,5,0,1,3,2
134674,26-11-22,DTU Volley,KSV,Engelsborghallen                ,3 - 2,2022-2023,16:30,3,2,DTU Volley,3,2,5,1,0,2,3
134672,27-11-22,Gentofte Volley.2,Farum-Holte,Kildeskovshal                 ,3 - 2,2022-2023,10:00,3,2,Gentofte Volley.2,3,2,5,1,0,2,3
134675,27-11-22,Hvidovre VK.2,Amager VK.2,Frihedens Idrætscenter                ,2 - 3,2022-2023,13:30,2,3,Amager VK.2,2,3,5,0,1,3,2
134676,27-11-22,VLI,Frederiksberg Volley,Kedelhallen                ,2 - 3,2022-2023,13:30,2,3,Frederiksberg Volley,2,3,5,0,1,3,2
134658,03-12-22,Frederiksberg Volley,VK Holbæk,Bülowsvejhallen                ,3 - 0,2022-2023,14:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
134659,03-12-22,DTU Volley,Hvidovre VK.2,Engelsborghallen                ,3 - 0,2022-2023,14:30,3,0,DTU Volley,3,0,3,1,0,0,3
134657,03-12-22,Amager VK.2,Gentofte Volley.2,Sundbyhal 2                ,3 - 1,2022-2023,16:30,3,1,Amager VK.2,3,1,4,1,0,1,3
134660,04-12-22,Grøndal EV,VLI,Hillerødgades Sportssal                ,3 - 1,2022-2023,13:00,3,1,Grøndal EV,3,1,4,1,0,1,3
134678,11-12-22,Farum-Holte,VK Holbæk,Ny Holtehal                ,3 - 0,2022-2023,12:00,3,0,Farum-Holte,3,0,3,1,0,0,3
134681,11-12-22,Amager VK.2,Frederiksberg Volley,Sundbyhal 2                ,3 - 2,2022-2023,12:00,3,2,Amager VK.2,3,2,5,1,0,2,3
134677,11-12-22,VLI,Gentofte Volley.2,Kedelhallen                ,3 - 1,2022-2023,13:30,3,1,VLI,3,1,4,1,0,1,3
134679,11-12-22,Grøndal EV,DTU Volley,Hillerødgades Sportssal                ,3 - 2,2022-2023,15:00,3,2,Grøndal EV,3,2,5,1,0,2,3
134683,14-01-23,DTU Volley,VK Holbæk,Engelsborghallen                ,2 - 3,2022-2023,16:30,2,3,VK Holbæk,2,3,5,0,1,3,2
134686,14-01-23,Hvidovre VK.2,Farum-Holte,Frihedens Idrætscenter                ,0 - 3,2022-2023,17:00,0,3,Farum-Holte,0,3,3,0,1,3,0
134682,15-01-23,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal                 ,0 - 3,2022-2023,12:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134685,15-01-23,Grøndal EV,Amager VK.2,Hillerødgades Sportssal                ,2 - 3,2022-2023,13:00,2,3,Amager VK.2,2,3,5,0,1,3,2
134688,21-01-23,VK Holbæk,Hvidovre VK.2,Bjergmarkshallen                ,1 - 3,2022-2023,12:00,1,3,Hvidovre VK.2,1,3,4,0,1,3,1
134690,21-01-23,Farum-Holte,Frederiksberg Volley,Ny Holtehal                ,3 - 2,2022-2023,17:00,3,2,Farum-Holte,3,2,5,1,0,2,3
134687,22-01-23,Gentofte Volley.2,DTU Volley,Kildeskovshal                 ,3 - 1,2022-2023,12:00,3,1,Gentofte Volley.2,3,1,4,1,0,1,3
134689,22-01-23,VLI,Amager VK.2,Kedelhallen                ,3 - 1,2022-2023,13:30,3,1,VLI,3,1,4,1,0,1,3
134691,22-01-23,KSV,Grøndal EV,Hillerødgades Sportssal                ,1 - 3,2022-2023,16:00,1,3,Grøndal EV,1,3,4,0,1,3,1
134692,28-01-23,Hvidovre VK.2,Gentofte Volley.2,Frihedens Idrætscenter                ,2 - 3,2022-2023,17:00,2,3,Gentofte Volley.2,2,3,5,0,1,3,2
134695,29-01-23,Amager VK.2,KSV,Sundbyhal 2                ,3 - 0,2022-2023,12:00,3,0,Amager VK.2,3,0,3,1,0,0,3
134696,29-01-23,Frederiksberg Volley,Grøndal EV,Bülowsvejhallen                ,3 - 1,2022-2023,12:00,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
134693,29-01-23,VLI,VK Holbæk,Kedelhallen                ,3 - 0,2022-2023,13:30,3,0,VLI,3,0,3,1,0,0,3
134694,29-01-23,Farum-Holte,DTU Volley,Ny Holtehal                ,3 - 0,2022-2023,18:00,3,0,Farum-Holte,3,0,3,1,0,0,3
134701,05-02-23,KSV,Frederiksberg Volley,Hillerødgades Sportssal                ,0 - 3,2022-2023,12:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134700,05-02-23,Amager VK.2,Farum-Holte,Sundbyhal 2                ,3 - 0,2022-2023,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
134699,09-02-23,Grøndal EV,Hvidovre VK.2,Hillerødgades Sportssal                ,1 - 3,2022-2023,18:45,1,3,Hvidovre VK.2,1,3,4,0,1,3,1
134698,11-02-23,DTU Volley,VLI,Engelsborghallen                ,1 - 3,2022-2023,14:30,1,3,VLI,1,3,4,0,1,3,1
134680,12-02-23,KSV,Hvidovre VK.2,Hillerødgades Sportssal                ,1 - 3,2022-2023,12:00,1,3,Hvidovre VK.2,1,3,4,0,1,3,1
134704,22-02-23,Hvidovre VK.2,DTU Volley,Frihedens Idrætscenter                ,3 - 2,2022-2023,20:00,3,2,Hvidovre VK.2,3,2,5,1,0,2,3
134705,22-02-23,VLI,Grøndal EV,Kedelhallen                ,3 - 1,2022-2023,20:30,3,1,VLI,3,1,4,1,0,1,3
134702,24-02-23,Gentofte Volley.2,Amager VK.2,Kildeskovshal                 ,3 - 1,2022-2023,20:00,3,1,Gentofte Volley.2,3,1,4,1,0,1,3
134703,25-02-23,VK Holbæk,Frederiksberg Volley,Bjergmarkshallen                ,0 - 3,2022-2023,10:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
134706,25-02-23,Farum-Holte,KSV,Ny Holtehal                ,3 - 0,2022-2023,17:00,3,0,Farum-Holte,3,0,3,1,0,0,3
134697,27-02-23,VK Holbæk,Gentofte Volley.2,Bjergmarkshallen                ,1 - 3,2022-2023,20:00,1,3,Gentofte Volley.2,1,3,4,0,1,3,1
134708,05-03-23,Amager VK.2,VK Holbæk,Sundbyhal 2                ,3 - 1,2022-2023,12:00,3,1,Amager VK.2,3,1,4,1,0,1,3
134707,05-03-23,KSV,Gentofte Volley.2,Hillerødgades Sportssal                ,0 - 3,2022-2023,14:00,0,3,Gentofte Volley.2,0,3,3,0,1,3,0
134709,07-03-23,Frederiksberg Volley,DTU Volley,Kedelhallen                ,3 - 1,2022-2023,19:30,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
134711,09-03-23,Grøndal EV,Farum-Holte,Hillerødgades Sportssal                ,1 - 3,2022-2023,18:45,1,3,Farum-Holte,1,3,4,0,1,3,1
134661,12-03-23,KSV,Farum-Holte,Hillerødgades Sportssal                ,0 - 3,2022-2023,14:00,0,3,Farum-Holte,0,3,3,0,1,3,0
134710,12-03-23,VLI,Hvidovre VK.2,Kedelhallen                ,2 - 3,2022-2023,19:30,2,3,Hvidovre VK.2,2,3,5,0,1,3,2
134716,18-03-23,Farum-Holte,VLI,Ny Holtehal                ,3 - 1,2022-2023,15:00,3,1,Farum-Holte,3,1,4,1,0,1,3
134715,18-03-23,Frederiksberg Volley,Hvidovre VK.2,Bülowsvejhallen                ,2 - 3,2022-2023,16:00,2,3,Hvidovre VK.2,2,3,5,0,1,3,2
134714,18-03-23,DTU Volley,Amager VK.2,Engelsborghallen                ,1 - 3,2022-2023,16:30,1,3,Amager VK.2,1,3,4,0,1,3,1
134712,19-03-23,Gentofte Volley.2,Grøndal EV,Kildeskovshal                 ,3 - 0,2022-2023,14:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
134713,19-03-23,KSV,VK Holbæk,Hillerødgades Sportssal                ,3 - 1,2022-2023,16:00,3,1,KSV,3,1,4,1,0,1,3
134721,22-03-23,Frederiksberg Volley,VLI,Bülowsvejhallen                ,2 - 3,2022-2023,19:00,2,3,VLI,2,3,5,0,1,3,2
134720,25-03-23,Amager VK.2,Hvidovre VK.2,Sundbyhal 2                ,3 - 1,2022-2023,16:00,3,1,Amager VK.2,3,1,4,1,0,1,3
134717,25-03-23,Farum-Holte,Gentofte Volley.2,Ny Holtehal                ,3 - 1,2022-2023,17:00,3,1,Farum-Holte,3,1,4,1,0,1,3
134718,26-03-23,Grøndal EV,VK Holbæk,Hillerødgades Sportssal                ,3 - 0,2022-2023,12:00,3,0,Grøndal EV,3,0,3,1,0,0,3
134719,26-03-23,KSV,DTU Volley,Hillerødgades Sportssal                ,0 - 3,2022-2023,18:00,0,3,DTU Volley,0,3,3,0,1,3,0
134723,01-04-23,VK Holbæk,Farum-Holte,Bjergmarkshallen                ,1 - 3,2022-2023,12:00,1,3,Farum-Holte,1,3,4,0,1,3,1
134724,01-04-23,DTU Volley,Grøndal EV,Engelsborghallen                ,3 - 0,2022-2023,14:30,3,0,DTU Volley,3,0,3,1,0,0,3
134726,01-04-23,Frederiksberg Volley,Amager VK.2,Bülowsvejhallen                ,1 - 3,2022-2023,16:00,1,3,Amager VK.2,1,3,4,0,1,3,1
134722,02-04-23,Gentofte Volley.2,VLI,Kildeskovshal                 ,3 - 2,2022-2023,10:00,3,2,Gentofte Volley.2,3,2,5,1,0,2,3
134725,02-04-23,Hvidovre VK.2,KSV,Frihedens Idrætscenter                ,3 - 1,2022-2023,12:00,3,1,Hvidovre VK.2,3,1,4,1,0,1,3
137699,30-09-23,Team Køge,Frederiksberg Volley,Spar Nord Arena                ,0 - 3,2023-2024,15:30,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
137700,01-10-23,Amager VK.2,Farum-Holte,Sundbyhal 2                ,3 - 0,2023-2024,12:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137697,01-10-23,VLI,Grøndal EV,Kedelhallen                ,3 - 0,2023-2024,15:30,3,0,VLI,3,0,3,1,0,0,3
137698,01-10-23,RS Rødovre,Hvidovre VK,Rødovrehallen                7 - Hal 3 (LB),0 - 3,2023-2024,15:30,0,3,Hvidovre VK,0,3,3,0,1,3,0
137696,04-10-23,Gentofte Volley.2,DTU Volley,Byens Hus                ,3 - 0,2023-2024,20:30,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
137702,07-10-23,Farum-Holte,VLI,Ny Holtehal                ,0 - 3,2023-2024,14:00,0,3,VLI,0,3,3,0,1,3,0
137704,07-10-23,DTU Volley,Amager VK.2,Engelsborghallen                ,3 - 2,2023-2024,14:30,3,2,DTU Volley,3,2,5,1,0,2,3
137703,07-10-23,Team Køge,RS Rødovre,Spar Nord Arena                ,0 - 3,2023-2024,15:30,0,3,RS Rødovre,0,3,3,0,1,3,0
137705,08-10-23,Frederiksberg Volley,Hvidovre VK,Bülowsvejhallen                ,1 - 3,2023-2024,12:00,1,3,Hvidovre VK,1,3,4,0,1,3,1
137701,08-10-23,Grøndal EV,Gentofte Volley.2,Hillerødgades Sportssal                ,2 - 3,2023-2024,14:00,2,3,Gentofte Volley.2,2,3,5,0,1,3,2
137709,10-10-23,Hvidovre VK,Team Køge,Frihedens Idrætscenter                ,3 - 0,2023-2024,20:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137710,15-10-23,Frederiksberg Volley,DTU Volley,Bülowsvejhallen                ,3 - 1,2023-2024,12:00,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
137707,15-10-23,VLI,RS Rødovre,Kedelhallen                ,3 - 0,2023-2024,13:30,3,0,VLI,3,0,3,1,0,0,3
137708,15-10-23,Grøndal EV,Amager VK.2,Hillerødgades Sportssal                ,2 - 3,2023-2024,16:00,2,3,Amager VK.2,2,3,5,0,1,3,2
137715,28-10-23,DTU Volley,Hvidovre VK,Engelsborghallen                ,0 - 3,2023-2024,14:30,0,3,Hvidovre VK,0,3,3,0,1,3,0
137713,28-10-23,Farum-Holte,Frederiksberg Volley,Ny Holtehal                ,0 - 3,2023-2024,16:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
137714,29-10-23,Amager VK.2,Team Køge,Sundbyhal                 ,3 - 0,2023-2024,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137712,29-10-23,RS Rødovre,Grøndal EV,Rødovrehallen                7 - Hal 3 (LB),0 - 3,2023-2024,15:30,0,3,Grøndal EV,0,3,3,0,1,3,0
137706,01-11-23,Gentofte Volley.2,Farum-Holte,Byens Hus                ,3 - 1,2023-2024,20:30,3,1,Gentofte Volley.2,3,1,4,1,0,1,3
137717,04-11-23,DTU Volley,VLI,Engelsborghallen                ,3 - 0,2023-2024,14:30,3,0,DTU Volley,3,0,3,1,0,0,3
137716,04-11-23,Team Køge,Gentofte Volley.2,Spar Nord Arena                ,3 - 2,2023-2024,15:30,3,2,Team Køge,3,2,5,1,0,2,3
137720,04-11-23,Hvidovre VK,Amager VK.2,Frihedens Idrætscenter                ,3 - 0,2023-2024,16:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137719,05-11-23,Frederiksberg Volley,RS Rødovre,Bülowsvejhallen                ,3 - 0,2023-2024,14:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
137718,05-11-23,Grøndal EV,Farum-Holte,Hillerødgades Sportssal                ,3 - 2,2023-2024,16:00,3,2,Grøndal EV,3,2,5,1,0,2,3
