match_number,date,home_team,away_team,stadium,result,season,time,home_result,away_result,winner,home_sets_won,away_sets_won,number_of_sets,home_game_won,away_game_won,home_sets_lost,away_sets_lost
137721,19-11-23,Gentofte Volley.2,Hvidovre VK,Kildeskovshal                 ,0 - 3,2023-2024,12:00,0,3,Hvidovre VK,0,3,3,0,1,3,0
137723,19-11-23,Grøndal EV,DTU Volley,Hillerødgades Sportssal                ,0 - 3,2023-2024,12:00,0,3,DTU Volley,0,3,3,0,1,3,0
137722,19-11-23,VLI,Team Køge,Kedelhallen                ,3 - 0,2023-2024,13:30,3,0,VLI,3,0,3,1,0,0,3
137725,19-11-23,Amager VK.2,Frederiksberg Volley,Sundbyhal                 ,3 - 1,2023-2024,14:00,3,1,Amager VK.2,3,1,4,1,0,1,3
137724,19-11-23,Farum-Holte,RS Rødovre,Ny Holtehal                ,3 - 1,2023-2024,18:00,3,1,Farum-Holte,3,1,4,1,0,1,3
137733,23-11-23,Grøndal EV,Hvidovre VK,Hillerødgades Sportssal                ,0 - 3,2023-2024,19:00,0,3,Hvidovre VK,0,3,3,0,1,3,0
137729,25-11-23,DTU Volley,Farum-Holte,Engelsborghallen                ,1 - 3,2023-2024,14:30,1,3,Farum-Holte,1,3,4,0,1,3,1
137728,25-11-23,Team Køge,Grøndal EV,Spar Nord Arena                ,0 - 3,2023-2024,15:30,0,3,Grøndal EV,0,3,3,0,1,3,0
137727,25-11-23,Hvidovre VK,VLI,Frihedens Idrætscenter                ,3 - 1,2023-2024,16:00,3,1,Hvidovre VK,3,1,4,1,0,1,3
137726,26-11-23,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen                ,3 - 0,2023-2024,14:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
137730,26-11-23,RS Rødovre,Amager VK.2,Rødovrehallen                7 - Hal 3 (LB),1 - 3,2023-2024,15:30,1,3,Amager VK.2,1,3,4,0,1,3,1
137711,29-11-23,Gentofte Volley.2,VLI,Byens Hus                ,2 - 3,2023-2024,18:45,2,3,VLI,2,3,5,0,1,3,2
137734,02-12-23,Farum-Holte,Team Køge,Ny Holtehal                ,3 - 2,2023-2024,14:00,3,2,Farum-Holte,3,2,5,1,0,2,3
137735,02-12-23,DTU Volley,RS Rødovre,Engelsborghallen                ,3 - 1,2023-2024,14:30,3,1,DTU Volley,3,1,4,1,0,1,3
137732,03-12-23,VLI,Frederiksberg Volley,Kedelhallen                ,3 - 1,2023-2024,13:30,3,1,VLI,3,1,4,1,0,1,3
137731,06-12-23,Gentofte Volley.2,Amager VK.2,Byens Hus                ,3 - 0,2023-2024,19:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
137740,09-12-23,Team Køge,DTU Volley,Spar Nord Arena                ,0 - 3,2023-2024,15:30,0,3,DTU Volley,0,3,3,0,1,3,0
137739,09-12-23,Hvidovre VK,Farum-Holte,Frihedens Idrætscenter                ,3 - 2,2023-2024,16:00,3,2,Hvidovre VK,3,2,5,1,0,2,3
137737,10-12-23,Amager VK.2,VLI,Sundbyhal 2                ,3 - 1,2023-2024,12:00,3,1,Amager VK.2,3,1,4,1,0,1,3
137738,10-12-23,Frederiksberg Volley,Grøndal EV,Kedelhallen                ,2 - 3,2023-2024,13:30,2,3,Grøndal EV,2,3,5,0,1,3,2
137741,13-01-24,DTU Volley,Gentofte Volley.2,Engelsborghallen                ,3 - 2,2023-2024,14:30,3,2,DTU Volley,3,2,5,1,0,2,3
137743,13-01-24,Hvidovre VK,RS Rødovre,Frihedens Idrætscenter                ,3 - 0,2023-2024,16:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137744,14-01-24,Frederiksberg Volley,Team Køge,Bülowsvejhallen                ,3 - 0,2023-2024,14:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
137742,14-01-24,Grøndal EV,VLI,Hillerødgades Sportssal                ,2 - 3,2023-2024,14:00,2,3,VLI,2,3,5,0,1,3,2
137745,14-01-24,Farum-Holte,Amager VK.2,Ny Holtehal                ,2 - 3,2023-2024,16:00,2,3,Amager VK.2,2,3,5,0,1,3,2
137784,16-01-24,Farum-Holte,Hvidovre VK,Ny Holtehal                ,1 - 3,2023-2024,20:30,1,3,Hvidovre VK,1,3,4,0,1,3,1
137749,20-01-24,Amager VK.2,DTU Volley,Sundbyhal                 ,3 - 0,2023-2024,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137750,21-01-24,Hvidovre VK,Frederiksberg Volley,Frihedens Idrætscenter                ,3 - 0,2023-2024,12:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137746,21-01-24,Gentofte Volley.2,Grøndal EV,Kildeskovshal                 ,3 - 0,2023-2024,12:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
137747,21-01-24,VLI,Farum-Holte,Kedelhallen                ,3 - 0,2023-2024,13:30,3,0,VLI,3,0,3,1,0,0,3
137736,24-01-24,RS Rødovre,Gentofte Volley.2,Rødovrehallen                4 - Hal 2 (LB),0 - 3,2023-2024,19:00,0,3,Gentofte Volley.2,0,3,3,0,1,3,0
137748,25-01-24,RS Rødovre,Team Køge,Rødovrehallen                4 - Hal 2 (LB),1 - 3,2023-2024,19:30,1,3,Team Køge,1,3,4,0,1,3,1
137753,27-01-24,Amager VK.2,Grøndal EV,Sundbyhal                 ,3 - 0,2023-2024,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137755,27-01-24,DTU Volley,Frederiksberg Volley,Engelsborghallen                ,3 - 1,2023-2024,14:30,3,1,DTU Volley,3,1,4,1,0,1,3
137754,27-01-24,Team Køge,Hvidovre VK,Spar Nord Arena                ,0 - 3,2023-2024,15:30,0,3,Hvidovre VK,0,3,3,0,1,3,0
137752,28-01-24,RS Rødovre,VLI,Rødovrehallen                7 - Hal 3 (LB),1 - 3,2023-2024,15:30,1,3,VLI,1,3,4,0,1,3,1
137751,28-01-24,Farum-Holte,Gentofte Volley.2,Ny Holtehal                ,3 - 0,2023-2024,18:00,3,0,Farum-Holte,3,0,3,1,0,0,3
137758,04-02-24,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen                ,3 - 2,2023-2024,14:00,3,2,Frederiksberg Volley,3,2,5,1,0,2,3
137759,06-02-24,Team Køge,Amager VK.2,Spar Nord Arena                ,3 - 2,2023-2024,19:15,3,2,Team Køge,3,2,5,1,0,2,3
137756,07-02-24,VLI,Gentofte Volley.2,Kedelhallen                ,3 - 2,2023-2024,20:30,3,2,VLI,3,2,5,1,0,2,3
137760,10-02-24,Hvidovre VK,DTU Volley,Frihedens Idrætscenter                ,3 - 0,2023-2024,18:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137757,11-02-24,Grøndal EV,RS Rødovre,Hillerødgades Sportssal                ,3 - 1,2023-2024,16:00,3,1,Grøndal EV,3,1,4,1,0,1,3
137763,20-02-24,Farum-Holte,Grøndal EV,Ny Holtehal                ,2 - 3,2023-2024,18:30,2,3,Grøndal EV,2,3,5,0,1,3,2
137765,22-02-24,Amager VK.2,Hvidovre VK,Sundbyhal                 ,1 - 3,2023-2024,20:00,1,3,Hvidovre VK,1,3,4,0,1,3,1
137762,25-02-24,VLI,DTU Volley,Kedelhallen                ,3 - 2,2023-2024,11:30,3,2,VLI,3,2,5,1,0,2,3
137761,27-02-24,Gentofte Volley.2,Team Køge,Kildeskovshal                 ,3 - 0,2023-2024,18:30,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
137767,05-03-24,Team Køge,VLI,Spar Nord Arena                ,0 - 3,2023-2024,19:15,0,3,VLI,0,3,3,0,1,3,0
137769,06-03-24,RS Rødovre,Farum-Holte,Rødovrehallen                4 - Hal 2 (LB),2 - 3,2023-2024,20:00,2,3,Farum-Holte,2,3,5,0,1,3,2
137768,09-03-24,DTU Volley,Grøndal EV,Engelsborghallen                ,3 - 1,2023-2024,14:30,3,1,DTU Volley,3,1,4,1,0,1,3
137766,09-03-24,Hvidovre VK,Gentofte Volley.2,Frihedens Idrætscenter                ,3 - 0,2023-2024,16:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137770,10-03-24,Frederiksberg Volley,Amager VK.2,Bülowsvejhallen                ,3 - 1,2023-2024,12:00,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
137771,13-03-24,Gentofte Volley.2,Frederiksberg Volley,Byens Hus                ,3 - 2,2023-2024,20:30,3,2,Gentofte Volley.2,3,2,5,1,0,2,3
137775,16-03-24,Amager VK.2,RS Rødovre,Sundbyhal                 ,3 - 0,2023-2024,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137772,17-03-24,VLI,Hvidovre VK,Kedelhallen                ,1 - 3,2023-2024,11:30,1,3,Hvidovre VK,1,3,4,0,1,3,1
137773,17-03-24,Grøndal EV,Team Køge,Hillerødgades Sportssal                ,3 - 0,2023-2024,12:00,3,0,Grøndal EV,3,0,3,1,0,0,3
137774,17-03-24,Farum-Holte,DTU Volley,Ny Holtehal                ,3 - 2,2023-2024,16:00,3,2,Farum-Holte,3,2,5,1,0,2,3
137781,20-03-24,Gentofte Volley.2,RS Rødovre,Byens Hus                ,3 - 1,2023-2024,18:45,3,1,Gentofte Volley.2,3,1,4,1,0,1,3
137779,23-03-24,Team Køge,Farum-Holte,Spar Nord Arena                ,0 - 3,2023-2024,13:30,0,3,Farum-Holte,0,3,3,0,1,3,0
137778,23-03-24,Hvidovre VK,Grøndal EV,Frihedens Idrætscenter                ,3 - 0,2023-2024,16:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137777,24-03-24,Frederiksberg Volley,VLI,Bülowsvejhallen                ,3 - 0,2023-2024,10:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
137776,24-03-24,Amager VK.2,Gentofte Volley.2,Sundbyhal 2                ,3 - 2,2023-2024,12:00,3,2,Amager VK.2,3,2,5,1,0,2,3
137780,24-03-24,RS Rødovre,DTU Volley,Rødovrehallen                7 - Hal 3 (LB),3 - 2,2023-2024,15:30,3,2,RS Rødovre,3,2,5,1,0,2,3
137764,03-04-24,RS Rødovre,Frederiksberg Volley,Rødovrehallen                4 - Hal 2 (LB),0 - 3,2023-2024,20:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
137785,06-04-24,DTU Volley,Team Køge,Engelsborghallen                ,3 - 2,2023-2024,14:30,3,2,DTU Volley,3,2,5,1,0,2,3
137782,07-04-24,VLI,Amager VK.2,Kedelhallen                ,1 - 3,2023-2024,11:30,1,3,Amager VK.2,1,3,4,0,1,3,1
137783,07-04-24,Grøndal EV,Frederiksberg Volley,Hillerødgades Sportssal                ,3 - 2,2023-2024,14:00,3,2,Grøndal EV,3,2,5,1,0,2,3
141064,29-09-24,VLI,Hvidovre VK.2,Kedelhallen                ,3 - 0,2024-2025,09:30,3,0,VLI,3,0,3,1,0,0,3
141062,29-09-24,KV 61,Team Køge,Idrætshuset                ,0 - 3,2024-2025,10:00,0,3,Team Køge,0,3,3,0,1,3,0
141063,29-09-24,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal                 ,3 - 2,2024-2025,10:00,3,2,Gentofte Volley.2,3,2,5,1,0,2,3
141066,29-09-24,Amager Volley.2,Farum-Holte,Sundbyhal                 ,3 - 1,2024-2025,11:00,3,1,Amager Volley.2,3,1,4,1,0,1,3
141065,29-09-24,DTU Volley,Grøndal EV,Engelsborghallen                ,1 - 3,2024-2025,14:30,1,3,Grøndal EV,1,3,4,0,1,3,1
141068,05-10-24,Farum-Holte,Gentofte Volley.2,Ny Holtehal                ,0 - 3,2024-2025,13:00,0,3,Gentofte Volley.2,0,3,3,0,1,3,0
141069,05-10-24,DTU Volley,VLI,Engelsborghallen                ,2 - 3,2024-2025,14:30,2,3,VLI,2,3,5,0,1,3,2
141070,05-10-24,Team Køge,Amager Volley.2,Spar Nord Arena                ,0 - 3,2024-2025,15:30,0,3,Amager Volley.2,0,3,3,0,1,3,0
141071,06-10-24,Grøndal EV,Hvidovre VK.2,Hillerødgades Sportssal                ,3 - 1,2024-2025,14:00,3,1,Grøndal EV,3,1,4,1,0,1,3
141067,06-10-24,Frederiksberg Volley,KV 61,Bülowsvejhallen                ,3 - 0,2024-2025,18:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
141076,10-10-24,Grøndal EV,Team Køge,Hillerødgades Sportssal                ,3 - 0,2024-2025,19:00,3,0,Grøndal EV,3,0,3,1,0,0,3
141072,12-10-24,KV 61,Farum-Holte,Idrætshuset                ,3 - 2,2024-2025,16:00,3,2,KV 61,3,2,5,1,0,2,3
141073,13-10-24,Gentofte Volley.2,VLI,Gentoftehallen,1 - 3,2024-2025,14:00,1,3,VLI,1,3,4,0,1,3,1
141074,13-10-24,Frederiksberg Volley,Amager Volley.2,Kedelhallen                ,0 - 3,2024-2025,14:00,0,3,Amager Volley.2,0,3,3,0,1,3,0
141080,27-10-24,Amager Volley.2,DTU Volley,Sundbyhal                 ,3 - 1,2024-2025,11:00,3,1,Amager Volley.2,3,1,4,1,0,1,3
141078,27-10-24,VLI,Frederiksberg Volley,Kedelhallen                ,3 - 0,2024-2025,11:30,3,0,VLI,3,0,3,1,0,0,3
141079,27-10-24,Farum-Holte,Grøndal EV,Ny Holtehal                ,3 - 0,2024-2025,15:00,3,0,Farum-Holte,3,0,3,1,0,0,3
141077,29-10-24,KV 61,Gentofte Volley.2,Idrætshuset                ,0 - 3,2024-2025,20:00,0,3,Gentofte Volley.2,0,3,3,0,1,3,0
141090,02-11-24,Farum-Holte,VLI,Ny Holtehal                ,1 - 3,2024-2025,13:00,1,3,VLI,1,3,4,0,1,3,1
141091,02-11-24,Amager Volley.2,Grøndal EV,Sundbyhal 2                ,3 - 2,2024-2025,14:30,3,2,Amager Volley.2,3,2,5,1,0,2,3
141089,02-11-24,Frederiksberg Volley,Team Køge,Bülowsvejhallen                ,3 - 0,2024-2025,18:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
141087,03-11-24,KV 61,Hvidovre VK.2,Idrætshuset                ,0 - 3,2024-2025,10:00,0,3,Hvidovre VK.2,0,3,3,0,1,3,0
141088,03-11-24,Gentofte Volley.2,DTU Volley,Kildeskovshal                 ,1 - 3,2024-2025,12:00,1,3,DTU Volley,1,3,4,0,1,3,1
141081,05-11-24,Team Køge,Hvidovre VK.2,Spar Nord Arena                ,1 - 3,2024-2025,20:15,1,3,Hvidovre VK.2,1,3,4,0,1,3,1
141095,09-11-24,Team Køge,Farum-Holte,Spar Nord Arena                ,2 - 3,2024-2025,15:30,2,3,Farum-Holte,2,3,5,0,1,3,2
141093,09-11-24,Hvidovre VK.2,Gentofte Volley.2,Frihedens Idrætscenter                ,3 - 1,2024-2025,17:30,3,1,Hvidovre VK.2,3,1,4,1,0,1,3
141096,10-11-24,VLI,Amager Volley.2,Kedelhallen                ,1 - 3,2024-2025,13:30,1,3,Amager Volley.2,1,3,4,0,1,3,1
141092,10-11-24,Grøndal EV,KV 61,Hillerødgades Sportssal                ,3 - 0,2024-2025,14:00,3,0,Grøndal EV,3,0,3,1,0,0,3
141094,16-11-24,DTU Volley,Frederiksberg Volley,Engelsborghallen                ,2 - 3,2024-2025,14:30,2,3,Frederiksberg Volley,2,3,5,0,1,3,2
141101,23-11-24,Team Køge,VLI,Spar Nord Arena                ,1 - 3,2024-2025,13:30,1,3,VLI,1,3,4,0,1,3,1
141099,23-11-24,Frederiksberg Volley,Hvidovre VK.2,Bülowsvejhallen                ,2 - 3,2024-2025,14:00,2,3,Hvidovre VK.2,2,3,5,0,1,3,2
141097,24-11-24,KV 61,Amager Volley.2,Idrætshuset                ,0 - 3,2024-2025,10:00,0,3,Amager Volley.2,0,3,3,0,1,3,0
141098,24-11-24,Gentofte Volley.2,Grøndal EV,Kildeskovshal                 ,2 - 3,2024-2025,16:00,2,3,Grøndal EV,2,3,5,0,1,3,2
141100,24-11-24,Farum-Holte,DTU Volley,Ny Holtehal                ,3 - 1,2024-2025,16:00,3,1,Farum-Holte,3,1,4,1,0,1,3
141106,30-11-24,DTU Volley,Team Køge,Engelsborghallen                ,3 - 2,2024-2025,14:30,3,2,DTU Volley,3,2,5,1,0,2,3
141103,30-11-24,Amager Volley.2,Gentofte Volley.2,Sundbyhal 2                ,3 - 1,2024-2025,16:30,3,1,Amager Volley.2,3,1,4,1,0,1,3
141105,30-11-24,Hvidovre VK.2,Farum-Holte,Frihedens Idrætscenter                ,1 - 3,2024-2025,17:30,1,3,Farum-Holte,1,3,4,0,1,3,1
141104,01-12-24,Grøndal EV,Frederiksberg Volley,Hillerødgades Sportssal                ,0 - 3,2024-2025,14:00,0,3,Frederiksberg Volley,0,3,3,0,1,3,0
141102,01-12-24,VLI,KV 61,Kedelhallen                ,3 - 0,2024-2025,15:30,3,0,VLI,3,0,3,1,0,0,3
141109,07-12-24,Hvidovre VK.2,VLI,Frihedens Idrætscenter                ,2 - 3,2024-2025,17:30,2,3,VLI,2,3,5,0,1,3,2
141110,08-12-24,Grøndal EV,DTU Volley,Hillerødgades Sportssal                ,1 - 3,2024-2025,14:00,1,3,DTU Volley,1,3,4,0,1,3,1
141111,08-12-24,Farum-Holte,Amager Volley.2,Ny Holtehal                ,2 - 3,2024-2025,16:00,2,3,Amager Volley.2,2,3,5,0,1,3,2
141108,08-12-24,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen                ,3 - 1,2024-2025,18:00,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
141107,17-12-24,Team Køge,KV 61,Spar Nord Arena                ,3 - 1,2024-2025,19:00,3,1,Team Køge,3,1,4,1,0,1,3
141117,11-01-25,Farum-Holte,KV 61,Ny Holtehal                ,3 - 0,2024-2025,11:00,3,0,Farum-Holte,3,0,3,1,0,0,3
141121,11-01-25,Team Køge,Grøndal EV,Spar Nord Arena                ,2 - 3,2024-2025,13:30,2,3,Grøndal EV,2,3,5,0,1,3,2
141120,11-01-25,DTU Volley,Hvidovre VK.2,Engelsborghallen                ,2 - 3,2024-2025,14:30,2,3,Hvidovre VK.2,2,3,5,0,1,3,2
141118,12-01-25,VLI,Gentofte Volley.2,Kedelhallen                ,3 - 1,2024-2025,11:30,3,1,VLI,3,1,4,1,0,1,3
141119,12-01-25,Amager Volley.2,Frederiksberg Volley,Sundbyhal                 ,3 - 2,2024-2025,12:00,3,2,Amager Volley.2,3,2,5,1,0,2,3
