,Player_Name,Games_Played,Points_Played,Got_Aced/Game,Passes/Game,Perfect_Passes/Game,Pass_Rating,Total_Pass_Error_%,3-pass_Percent,Pass_Attempts,1-pass,2-pass,3-pass,Over_the_Net_Pass,Got_Aced,Total_Pass_Errors,First_Ball_Side_Out_%,,team1,team2,kampnr,Serve_Attempts,Serve_%,Serve_Rating,1-Serve,2-Serve,3-Serve,Aces,Serve_Errors,Points_Lost_on_Serve,Points_Won_on_Serve,Serve_Net_Points,Point_Scoring_%,Serve_Error_%,Ace_%,Aces/Game,Serve_Attempts/Game,Serve_Errors/Game,Serve_Net_Points/Game,Errors:_Out,Errors:_Into_Net,Earned/Game,Errors/Game,Faults/Game,Total/Game,Plus/Minus_Total,Plus/Minus_Net_Total,Total_Earned,Total_Errors,Total_Faults,Total_Earned_(them),Total_Errors_(them),Total_Faults_(them),Block_Errors/Game,Blocks_Still_in_Play/Game,Blocks/Game,Block_Assists,Block_Errors,Block_Solos,Blocks_Still_in_Play,Blocks,Net_Blocks,Block_%,Block_Error_%,Dig_Errors/Game,Dig_Attempts/Game,Digs/Game,Digs,Dig_Attempts,Dig_Errors,Dig_Error_%,Dig_%,Kill_to_Dig_%,Attack_Attempt_to_Dig_%,Kills/Game,Attack_Errors/Game,Attack_Net_Points/Game,Hitting_Efficiency,Kill_%,Attack_Error_%,Attack_Attempts,Attack_Errors,Kills,Errors:_Blocked,season,hjemme,ude,spillested,played,resultat,result_for_frb,date,match_name,opponent,Points_Won_on_Serve_%
0,Alex, 5, 47,0.0,6.2,2.2,2.05, 0.0%, 35.5%,31.0,5.0,12.0,11.0,3.0,0.0,0.0, 29.4%, ,gev,frb,141063,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-0.8,-4.0,-4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.8,2.6,1.8,9.0,13.0,4.0, 30.8%, 69.2%, 33.3%, 88.9%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal 1 1,yes,3 - 2,lost,2024-09-29,gv2-frb,Gentofte Volley.2,
10,Alex, 3, 28,0.3,4.3,1.0,1.86, 7.1%, 21.4%,14.0,3.0,7.0,3.0,0.0,1.0,1.0, 33.3%, ,frb,k61,141067,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,-6.0,-6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,1.3,3.0,1.7,5.0,9.0,4.0, 44.4%, 55.6%, 20.0%, 80.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,KV 61,Bülowsvejhallen 1,yes,3 - 0,won,2024-10-06,frb-kv ,KV 61,
21,Alex, 3, 33,1.0,6.0,1.3,1.6, 14.3%, 19.0%,21.0,5.0,8.0,4.0,1.0,3.0,3.0, 23.8%, ,fhv,frb,141084,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,-1.7,-5.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.7,3.3,2.7,8.0,10.0,2.0, 20.0%, 80.0%, 25.0%, 50.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen 1,yes,0 - 3,lost,2025-02-22,frb-fah,Farum-Holte,
31,Alex, 3, 34,0.3,6.0,2.0,1.95, 5.3%, 31.6%,19.0,5.0,7.0,6.0,0.0,1.0,1.0, 21.7%, ,frb,tkv,141089,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.7,4.7,4.0,12.0,14.0,2.0, 14.3%, 85.7%, 41.7%, 83.3%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Team Køge,Bülowsvejhallen 1,yes,3 - 0,won,2024-11-02,frb-tkv,Team Køge,
41,Alex, 5, 38,0.0,3.6,1.0,1.92, 0.0%, 27.8%,18.0,5.0,7.0,5.0,1.0,0.0,0.0, 47.8%, ,frb,hvk,141099,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-5.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,1.0,3.2,2.2,11.0,16.0,5.0, 31.3%, 68.8%, 9.1%, 72.7%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Hvidovre VK.2,Bülowsvejhallen 1,yes,2 - 3,lost,2024-11-23,frb-hv2,Hvidovre VK.2,
52,Alex, 4, 45,0.5,6.5,2.3,1.84, 7.1%, 32.1%,28.0,8.0,8.0,9.0,1.0,2.0,2.0, 35.5%, ,frb,gev,141108,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-2.5,-10.0,-10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,1.5,2.5,1.0,4.0,10.0,6.0, 60.0%, 40.0%, 0.0%, 50.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2024-12-08,frb-gv2,Gentofte Volley.2,
64,Alex, 5, 53,0.4,6.4,2.4,1.99, 5.9%, 35.3%,34.0,7.0,12.0,12.0,1.0,2.0,2.0, 34.3%, ,avk,frb,141119,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,-1.4,-7.0,-7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.8,3.4,2.6,13.0,17.0,4.0, 23.5%, 76.5%, 7.7%, 76.9%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 2,lost,2025-01-12,avk-frb,Amager Volley.2,
75,Alex, 5, 38,0.4,2.6,0.8,1.73, 13.3%, 26.7%,15.0,4.0,5.0,4.0,0.0,2.0,2.0, 19.0%, ,frb,vli,141123,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-5.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.6,3.0,2.4,12.0,15.0,3.0, 20.0%, 80.0%, 25.0%, 83.3%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,VLI,Bülowsvejhallen 1,yes,3 - 2,won,2025-01-18,frb-vli,VLI,
92,Alex, 4, 35,0.3,2.5,1.5,2.36, 9.1%, 54.5%,11.0,0.0,4.0,6.0,0.0,1.0,1.0, 41.7%, ,frb,dtu,141139,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,-12.0,-12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,2.8,7.0,4.3,17.0,28.0,11.0, 39.3%, 60.7%, 29.4%, 70.6%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,DTU Volley,Bülowsvejhallen 1,yes,3 - 1,won,2025-01-25,frb-dtu,DTU Volley,
102,Alex, 3, 30,0.3,5.3,2.7,2.18, 5.9%, 47.1%,17.0,3.0,5.0,8.0,0.0,1.0,1.0, 45.0%, ,hvk,frb,141144,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.3,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,3.3,3.3,10.0,10.0,0.0, 0.0%, 100.0%, 30.0%, 80.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-03-29,hv2-frb,Hvidovre VK.2,
110,Alex, 4, 47,0.8,6.0,2.5,1.78, 11.1%, 37.0%,27.0,10.0,4.0,10.0,0.0,3.0,3.0, 41.9%, ,frb,grv,141149,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-4.0,-4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.3,2.8,2.5,10.0,11.0,1.0, 9.1%, 90.9%, 30.0%, 100.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Grøndal EV,Bülowsvejhallen 1,yes,3 - 1,won,2025-03-23,frb-grø,Grøndal EV,
119,Alex, 3, 163,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,avk,frb,144591,12.0, 91.7%, 1.83,3.0,6.0,1.0,1.0,1.0,10.0,2.0,0.0, 16.7%, 8.3%, 8.3%,0.3,4.0,0.3,0.0,1.0,0.0,0.7,2.0,0.0,-1.3,-4.0,-4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,2.0,2.0,6.0,6.0,0.0, 0.0%, 100.0%, 66.7%, 100.0%,0.3,0.3,0.0, 0.000, 33.3%, 33.3%,3.0,1.0,1.0,1.0,2025/2026,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 0,lost,2025-09-27,avk-frb,Amager Volley.2,16.666666666666664
127,Alex, 5, 41,0.6,4.4,1.0,1.68, 12.0%, 20.0%,25.0,4.0,11.0,5.0,2.0,3.0,3.0, 14.8%, ,hvk,frb,144595,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.6,-3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,1.8,1.8,9.0,9.0,0.0, 0.0%, 100.0%, 55.6%, 100.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,2 - 3,won,2025-10-04,hv2-frb,Hvidovre VK.2,
135,Alex, 4, 35,0.8,4.5,0.8,1.43, 14.3%, 14.3%,21.0,6.0,7.0,3.0,2.0,3.0,3.0, 27.3%, ,frb,gen,144610,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-0.8,-3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,2.8,2.8,11.0,11.0,0.0, 0.0%, 100.0%, 27.3%, 81.8%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2025-11-08,frb-gv2,Gentofte Volley.2,
146,Alex, 3, 25,0.7,3.3,0.3,1.58, 16.7%, 8.3%,12.0,2.0,7.0,1.0,0.0,2.0,2.0, 31.3%, ,hvk,frb,147434,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,-0.7,-2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,2.0,2.0,6.0,6.0,0.0, 0.0%, 100.0%, 33.3%, 83.3%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-10-12,hv2-frb,Hvidovre VK.2,
155,Alex, 3, 25,0.7,6.3,1.7,1.69, 9.5%, 23.8%,21.0,6.0,7.0,5.0,1.0,2.0,2.0, 38.1%, ,frb,odv,147577,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,-0.7,-2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,0.7,0.7,2.0,2.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2025/2026,Frederiksberg Volley,Odense Volleyball,Bülowsvejhallen 1,yes,0 - 3,lost,2025-11-01,frb-ode,Odense Volleyball,
32,Ando, 3, 34,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,tkv,141089,9.0, 88.9%, 2.00,2.0,3.0,2.0,1.0,1.0,6.0,3.0,0.0, 33.3%, 11.1%, 11.1%,0.3,3.0,0.3,0.0,1.0,0.0,2.7,1.3,0.0,2.0,6.0,6.0,10.0,4.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,3.0,2.0,0.0,2.0,3.0,1.0, 42.9%, 28.6%,0.3,0.7,0.3,1.0,2.0,1.0, 50.0%, 50.0%, 0.0%, 100.0%,2.0,0.0,2.0, 0.857, 85.7%, 0.0%,7.0,0.0,6.0,0.0,2024/2025,Frederiksberg Volley,Team Køge,Bülowsvejhallen 1,yes,3 - 0,won,2024-11-02,frb-tkv,Team Køge,33.33333333333333
53,Ando, 1, 3,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,gev,141108,1.0, 100.0%, 2.00,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0, 0.0%, 0.0%, 0.0%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,1.0,1.0,1.0,1.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2024-12-08,frb-gv2,Gentofte Volley.2,0.0
111,Ando, 4, 35,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,frb,grv,141149,11.0, 81.8%, 1.45,4.0,3.0,2.0,0.0,2.0,6.0,5.0,-2.0, 45.5%, 18.2%, 0.0%,0.0,2.8,0.5,-0.5,1.0,1.0,0.5,0.8,0.3,0.3,1.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,3.0,0.0,0.0,3.0,3.0,3.0, 50.0%, 0.0%,0.0,0.3,0.3,1.0,1.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,0.5,0.3,0.3, 0.143, 28.6%, 14.3%,7.0,1.0,2.0,1.0,2024/2025,Frederiksberg Volley,Grøndal EV,Bülowsvejhallen 1,yes,3 - 1,won,2025-03-23,frb-grø,Grøndal EV,45.45454545454545
120,Ando, 3, 28,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,avk,frb,144591,10.0, 100.0%, 2.10,2.0,6.0,1.0,1.0,0.0,7.0,3.0,1.0, 30.0%, 0.0%, 10.0%,0.3,3.3,0.0,0.3,0.0,0.0,3.0,0.3,0.0,2.7,8.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,2.0,0.0,2.0,2.0, 100.0%, 0.0%,0.0,0.7,0.7,2.0,2.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,2.0,0.3,1.7, 0.714, 85.7%, 14.3%,7.0,1.0,6.0,1.0,2025/2026,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 0,lost,2025-09-27,avk-frb,Amager Volley.2,30.0
147,Ando, 2, 19,0.0,0.0,0.0,, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, ,hvk,frb,147434,6.0, 100.0%, 1.83,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0, 50.0%, 0.0%, 0.0%,0.0,3.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,1.5,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0, 50.0%, 0.0%,0.0,0.5,0.5,1.0,1.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,1.5,0.5,1.0, 0.400, 60.0%, 20.0%,5.0,1.0,3.0,0.0,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-10-12,hv2-frb,Hvidovre VK.2,50.0
128,Anton, 5, 119,0.2,9.8,3.4,2.09, 2.0%, 34.0%,50.0,9.0,22.0,17.0,1.0,1.0,1.0, 33.3%, ,hvk,frb,144595,21.0, 85.7%, 2.24,1.0,7.0,8.0,2.0,3.0,11.0,10.0,-1.0, 47.6%, 14.3%, 9.5%,0.4,4.2,0.6,-0.2,1.0,2.0,4.0,2.0,0.2,1.8,9.0,9.0,20.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,2.0,0.0,1.0,5.0,3.0,3.0, 37.5%, 0.0%,0.0,1.6,1.6,8.0,8.0,0.0, 0.0%, 100.0%, 25.0%, 100.0%,3.0,1.4,1.6, 0.200, 37.5%, 17.5%,40.0,7.0,15.0,4.0,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,2 - 3,won,2025-10-04,hv2-frb,Hvidovre VK.2,47.61904761904761
136,Anton, 4, 89,0.3,5.5,2.8,2.17, 4.3%, 47.8%,23.0,2.0,7.0,11.0,2.0,1.0,1.0, 45.8%, ,frb,gen,144610,19.0, 89.5%, 2.05,3.0,7.0,6.0,1.0,2.0,9.0,10.0,-1.0, 52.6%, 10.5%, 5.3%,0.3,4.8,0.5,-0.3,2.0,0.0,3.5,2.8,0.0,0.8,3.0,3.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,1.0,4.0,1.0,1.0, 20.0%, 0.0%,0.0,0.3,0.3,1.0,1.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,3.0,2.0,1.0, 0.108, 32.4%, 21.6%,37.0,8.0,12.0,4.0,2025/2026,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2025-11-08,frb-gv2,Gentofte Volley.2,52.63157894736842
148,Anton, 3, 36,0.0,3.0,1.3,2.17, 0.0%, 44.4%,9.0,1.0,3.0,4.0,1.0,0.0,0.0, 27.3%, ,hvk,frb,147434,7.0, 100.0%, 2.86,0.0,2.0,4.0,1.0,0.0,4.0,3.0,1.0, 42.9%, 0.0%, 14.3%,0.3,2.3,0.0,0.3,0.0,0.0,2.3,1.0,0.0,1.3,4.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0, 0.0%, 0.0%,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -, -,2.0,1.0,1.0, 0.200, 40.0%, 20.0%,15.0,3.0,6.0,0.0,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-10-12,hv2-frb,Hvidovre VK.2,42.857142857142854
156,Anton, 3, 45,0.3,3.3,1.3,2.0, 9.1%, 36.4%,11.0,2.0,4.0,4.0,0.0,1.0,1.0, 25.0%, ,frb,odv,147577,8.0, 75.0%, 1.25,3.0,2.0,1.0,0.0,2.0,6.0,2.0,-2.0, 25.0%, 25.0%, 0.0%,0.0,2.7,0.7,-0.7,1.0,1.0,2.0,3.0,0.0,-0.3,-1.0,-1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0,0.0,0.0,0.0,2.0,2.0, 100.0%, 0.0%,0.0,0.3,0.3,1.0,1.0,0.0, 0.0%, 100.0%, 0.0%, 100.0%,2.0,1.7,0.3, 0.056, 33.3%, 27.8%,18.0,5.0,6.0,2.0,2025/2026,Frederiksberg Volley,Odense Volleyball,Bülowsvejhallen 1,yes,0 - 3,lost,2025-11-01,frb-ode,Odense Volleyball,25.0
1,Bo, 5, 47,0.2,0.0,0.0,0.0, 100.0%, 0.0%,1.0,0.0,0.0,0.0,0.0,1.0,1.0, -, ,gev,frb,141063,12.0, 83.3%, 1.55,2.0,6.0,1.0,0.0,2.0,7.0,5.0,-2.0, 41.7%, 16.7%, 0.0%,0.0,2.4,0.4,-0.4,0.0,2.0,1.2,1.2,0.2,0.8,4.0,4.0,11.0,6.0,1.0,0.0,0.0,0.0,0.2,0.4,1.2,6.0,1.0,0.0,2.0,6.0,5.0, 66.7%, 11.1%,0.2,0.4,0.2,1.0,2.0,1.0, 50.0%, 50.0%, 0.0%, 100.0%,1.0,0.2,0.8, 0.308, 38.5%, 7.7%,13.0,1.0,5.0,0.0,2024/2025,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal 1 1,yes,3 - 2,lost,2024-09-29,gv2-frb,Gentofte Volley.2,41.66666666666667
